czas,krok,moc_calkowita_kw,prad_calkowity_a,aktywne_sesje,kolejka,wykorzystanie_ladowarek_proc
00:00,0,0.0,0.0,0,0,0.0
00:15,1,0.0,0.0,0,0,0.0
00:30,2,0.0,0.0,0,0,0.0
00:45,3,0.0,0.0,0,0,0.0
01:00,4,50.0,125.0,1,0,16.67
01:15,5,11.353,28.383,0,0,0.0
01:30,6,0.0,0.0,0,0,0.0
01:45,7,0.0,0.0,0,0,0.0
02:00,8,0.0,0.0,0,0,0.0
02:15,9,0.0,0.0,0,0,0.0
02:30,10,0.0,0.0,0,0,0.0
02:45,11,0.0,0.0,0,0,0.0
03:00,12,0.0,0.0,0,0,0.0
03:15,13,0.0,0.0,0,0,0.0
03:30,14,0.0,0.0,0,0,0.0
03:45,15,0.0,0.0,0,0,0.0
04:00,16,0.0,0.0,0,0,0.0
04:15,17,0.0,0.0,0,0,0.0
04:30,18,0.0,0.0,0,0,0.0
04:45,19,0.0,0.0,0,0,0.0
05:00,20,0.0,0.0,0,0,0.0
05:15,21,0.0,0.0,0,0,0.0
05:30,22,0.0,0.0,0,0,0.0
05:45,23,0.0,0.0,0,0,0.0
06:00,24,150.0,375.0,1,0,16.67
06:15,25,125.051,312.628,0,0,0.0
06:30,26,116.732,291.83,0,0,0.0
06:45,27,0.0,0.0,0,0,0.0
07:00,28,0.0,0.0,0,0,0.0
07:15,29,139.391,348.479,0,0,0.0
07:30,30,144.9,362.25,1,0,16.67
07:45,31,6.47,16.176,0,0,0.0
08:00,32,0.0,0.0,0,0,0.0
08:15,33,0.0,0.0,0,0,0.0
08:30,34,131.251,328.128,0,0,0.0
08:45,35,0.0,0.0,0,0,0.0
09:00,36,125.311,313.277,0,0,0.0
09:15,37,0.0,0.0,0,0,0.0
09:30,38,0.0,0.0,0,0,0.0
09:45,39,544.128,1360.319,1,0,16.67
10:00,40,123.396,308.489,1,0,16.67
10:15,41,14.498,36.245,0,0,0.0
10:30,42,0.0,0.0,0,0,0.0
10:45,43,0.0,0.0,0,0,0.0
11:00,44,128.74,321.851,0,0,0.0
11:15,45,108.736,271.84,0,0,0.0
11:30,46,0.0,0.0,0,0,0.0
11:45,47,0.0,0.0,0,0,0.0
12:00,48,0.0,0.0,0,0,0.0
12:15,49,85.357,213.394,0,0,0.0
12:30,50,0.0,0.0,0,0,0.0
12:45,51,0.0,0.0,0,0,0.0
13:00,52,0.0,0.0,0,0,0.0
13:15,53,0.0,0.0,0,0,0.0
13:30,54,0.0,0.0,0,0,0.0
13:45,55,0.0,0.0,0,0,0.0
14:00,56,144.9,362.25,1,0,16.67
14:15,57,34.138,85.346,0,0,0.0
14:30,58,150.0,375.0,1,0,16.67
14:45,59,158.9,397.25,1,0,16.67
15:00,60,600.0,1500.0,5,0,83.33
15:15,61,179.397,448.493,1,0,16.67
15:30,62,18.602,46.505,0,0,0.0
15:45,63,228.943,572.356,1,0,16.67
16:00,64,171.781,429.452,0,0,0.0
16:15,65,150.0,375.0,1,0,16.67
16:30,66,164.36,410.899,1,0,16.67
16:45,67,111.611,279.027,0,0,0.0
17:00,68,94.706,236.766,0,0,0.0
17:15,69,124.068,310.17,0,0,0.0
17:30,70,0.0,0.0,0,0,0.0
17:45,71,200.0,500.0,2,0,33.33
18:00,72,240.149,600.372,0,0,0.0
18:15,73,50.0,125.0,1,0,16.67
18:30,74,4.728,11.819,0,0,0.0
18:45,75,0.0,0.0,0,0,0.0
19:00,76,0.0,0.0,0,0,0.0
19:15,77,0.0,0.0,0,0,0.0
19:30,78,0.0,0.0,0,0,0.0
19:45,79,150.0,375.0,1,0,16.67
20:00,80,44.715,111.787,0,0,0.0
20:15,81,0.0,0.0,0,0,0.0
20:30,82,150.0,375.0,1,0,16.67
20:45,83,33.234,83.085,0,0,0.0
21:00,84,0.0,0.0,0,0,0.0
21:15,85,150.0,375.0,1,0,16.67
21:30,86,44.809,112.021,0,0,0.0
21:45,87,0.0,0.0,0,0,0.0
22:00,88,0.0,0.0,0,0,0.0
22:15,89,0.0,0.0,0,0,0.0
22:30,90,0.0,0.0,0,0,0.0
22:45,91,0.0,0.0,0,0,0.0
23:00,92,0.0,0.0,0,0,0.0
23:15,93,0.0,0.0,0,0,0.0
23:30,94,0.0,0.0,0,0,0.0
23:45,95,0.0,0.0,0,0,0.0
