czas,krok,sesja_id,pojazd,zdarzenie,opis
03:15,13,EV-027,Hyundai IONIQ 5 77.4 kWh,przyjazd,Pojazd przyjechał na stację.
03:15,13,EV-027,Hyundai IONIQ 5 77.4 kWh,start_ladowania,Rozpoczęto sesję na ładowarce nr 1.
03:15,13,EV-027,Hyundai IONIQ 5 77.4 kWh,zmiana_mocy,"Moc chwilowa: 94.7 kW, SOC: 0.770."
03:30,14,EV-027,Hyundai IONIQ 5 77.4 kWh,koniec_ladowania,Sesja zakończona. Dostarczono 22.25 kWh.
04:15,17,EV-009,BMW i4 eDrive40,przyjazd,Pojazd przyjechał na stację.
04:15,17,EV-009,BMW i4 eDrive40,start_ladowania,Rozpoczęto sesję na ładowarce nr 1.
04:15,17,EV-009,BMW i4 eDrive40,zmiana_mocy,"Moc chwilowa: 123.0 kW, SOC: 0.592."
04:30,18,EV-009,BMW i4 eDrive40,zmiana_mocy,"Moc chwilowa: 86.8 kW, SOC: 0.789."
04:45,19,EV-009,BMW i4 eDrive40,koniec_ladowania,Sesja zakończona. Dostarczono 49.31 kWh.
05:45,23,EV-030,Hyundai IONIQ 5 77.4 kWh,przyjazd,Pojazd przyjechał na stację.
05:45,23,EV-030,Hyundai IONIQ 5 77.4 kWh,start_ladowania,Rozpoczęto sesję na ładowarce nr 1.
05:45,23,EV-030,Hyundai IONIQ 5 77.4 kWh,zmiana_mocy,"Moc chwilowa: 123.0 kW, SOC: 0.745."
06:00,24,EV-030,Hyundai IONIQ 5 77.4 kWh,zmiana_mocy,"Moc chwilowa: 27.0 kW, SOC: 0.786."
06:15,25,EV-030,Hyundai IONIQ 5 77.4 kWh,koniec_ladowania,Sesja zakończona. Dostarczono 35.25 kWh.
07:45,31,EV-021,Volvo EX30 69 kWh,przyjazd,Pojazd przyjechał na stację.
07:45,31,EV-021,Volvo EX30 69 kWh,start_ladowania,Rozpoczęto sesję na ładowarce nr 1.
07:45,31,EV-021,Volvo EX30 69 kWh,zmiana_mocy,"Moc chwilowa: 118.8 kW, SOC: 0.572."
08:00,32,EV-021,Volvo EX30 69 kWh,zmiana_mocy,"Moc chwilowa: 84.0 kW, SOC: 0.795."
08:15,33,EV-021,Volvo EX30 69 kWh,koniec_ladowania,Sesja zakończona. Dostarczono 47.66 kWh.
08:15,33,EV-007,Volvo EX30 69 kWh,przyjazd,Pojazd przyjechał na stację.
08:15,33,EV-022,Nissan LEAF 40 kWh,przyjazd,Pojazd przyjechał na stację.
08:15,33,EV-007,Volvo EX30 69 kWh,start_ladowania,Rozpoczęto sesję na ładowarce nr 1.
08:15,33,EV-022,Nissan LEAF 40 kWh,start_ladowania,Rozpoczęto sesję na ładowarce nr 2.
08:15,33,EV-007,Volvo EX30 69 kWh,zmiana_mocy,"Moc chwilowa: 118.8 kW, SOC: 0.743."
08:15,33,EV-022,Nissan LEAF 40 kWh,zmiana_mocy,"Moc chwilowa: 41.0 kW, SOC: 0.432."
08:30,34,EV-007,Volvo EX30 69 kWh,zmiana_mocy,"Moc chwilowa: 30.1 kW, SOC: 0.800."
08:30,34,EV-022,Nissan LEAF 40 kWh,zmiana_mocy,"Moc chwilowa: 41.0 kW, SOC: 0.673."
08:45,35,EV-007,Volvo EX30 69 kWh,koniec_ladowania,Sesja zakończona. Dostarczono 35.00 kWh.
08:45,35,EV-028,BMW i4 eDrive40,przyjazd,Pojazd przyjechał na stację.
08:45,35,EV-028,BMW i4 eDrive40,start_ladowania,Rozpoczęto sesję na ładowarce nr 1.
08:45,35,EV-022,Nissan LEAF 40 kWh,zmiana_mocy,"Moc chwilowa: 32.2 kW, SOC: 0.801."
