sesja_id,pojazd,segment,pojemnosc_baterii_kwh,soc_poczatkowy,soc_docelowy,soc_koncowy,przyjazd,start_ladowania,koniec_ladowania,czas_oczekiwania_min,czas_ladowania_min,energia_planowana_kwh,energia_dostarczona_kwh,slot_ladowarki,status
EV-003,Volvo EX30 69 kWh,crossover,69.0,0.416,0.809,0.809,00:45,00:45,01:00,0.0,15.0,27.146,27.146,1,zakonczona
EV-037,BMW i4 eDrive40,sedan,81.1,0.203,0.807,0.807,01:00,01:00,01:30,0.0,30.0,49.042,49.042,1,zakonczona
EV-008,Volvo EX30 69 kWh,crossover,69.0,0.263,0.781,0.781,06:00,06:00,06:30,0.0,30.0,35.742,35.742,1,zakonczona
EV-020,Hyundai IONIQ 5 77.4 kWh,crossover,77.4,0.385,0.772,0.772,07:00,07:00,07:15,0.0,15.0,29.945,29.945,1,zakonczona
EV-042,Volvo EX30 69 kWh,crossover,69.0,0.206,0.789,0.789,08:45,08:45,09:15,0.0,30.0,40.241,40.241,1,zakonczona
EV-017,Hyundai IONIQ 5 77.4 kWh,crossover,77.4,0.453,0.81,0.81,09:15,09:15,09:30,0.0,15.0,27.628,27.628,1,zakonczona
EV-035,Hyundai IONIQ 5 77.4 kWh,crossover,77.4,0.5,0.774,0.774,09:15,09:15,09:30,0.0,15.0,21.202,21.202,2,zakonczona
EV-010,Hyundai IONIQ 5 77.4 kWh,crossover,77.4,0.159,0.766,0.766,09:45,09:45,10:15,0.0,30.0,46.999,46.999,1,zakonczona
EV-034,Hyundai IONIQ 5 77.4 kWh,crossover,77.4,0.199,0.818,0.818,10:00,10:00,10:30,0.0,30.0,47.916,47.916,2,zakonczona
EV-002,Hyundai IONIQ 5 77.4 kWh,crossover,77.4,0.423,0.77,0.77,10:15,10:15,10:30,0.0,15.0,26.841,26.841,1,zakonczona
EV-041,Hyundai IONIQ 5 77.4 kWh,crossover,77.4,0.16,0.799,0.799,10:45,10:45,11:15,0.0,30.0,49.452,49.452,1,zakonczona
EV-029,BMW i4 eDrive40,sedan,81.1,0.266,0.796,0.796,11:00,11:00,11:30,0.0,30.0,42.958,42.958,2,zakonczona
EV-040,Volvo EX30 69 kWh,crossover,69.0,0.345,0.806,0.806,11:30,11:30,11:45,0.0,15.0,31.807,31.807,1,zakonczona
EV-013,Hyundai IONIQ 5 77.4 kWh,crossover,77.4,0.197,0.827,0.827,11:45,11:45,12:15,0.0,30.0,48.772,48.772,1,zakonczona
EV-024,Volvo EX30 69 kWh,crossover,69.0,0.358,0.791,0.79,11:45,11:45,12:00,0.0,15.0,29.839,29.839,2,zakonczona
EV-033,Hyundai IONIQ 5 77.4 kWh,crossover,77.4,0.449,0.778,0.778,11:45,11:45,12:00,0.0,15.0,25.515,25.515,3,zakonczona
EV-012,Volvo EX30 69 kWh,crossover,69.0,0.302,0.781,0.781,12:00,12:00,12:15,0.0,15.0,33.03,33.03,2,zakonczona
EV-016,BMW i4 eDrive40,sedan,81.1,0.231,0.781,0.781,12:15,12:15,12:45,0.0,30.0,44.643,44.643,1,zakonczona
EV-011,Hyundai IONIQ 5 77.4 kWh,crossover,77.4,0.35,0.771,0.77,12:30,12:30,12:45,0.0,15.0,32.527,32.527,2,zakonczona
EV-004,Volvo EX30 69 kWh,crossover,69.0,0.377,0.77,0.769,12:45,12:45,13:00,0.0,15.0,27.068,27.068,1,zakonczona
EV-007,Volvo EX30 69 kWh,crossover,69.0,0.313,0.82,0.819,12:45,12:45,13:15,0.0,30.0,34.937,34.937,2,zakonczona
EV-019,Volvo EX30 69 kWh,crossover,69.0,0.348,0.783,0.783,12:45,12:45,13:00,0.0,15.0,30.049,30.049,3,zakonczona
EV-028,BMW i4 eDrive40,sedan,81.1,0.298,0.818,0.818,13:00,13:00,13:30,0.0,30.0,42.149,42.149,1,zakonczona
EV-038,Hyundai IONIQ 5 77.4 kWh,crossover,77.4,0.428,0.801,0.801,13:00,13:00,13:15,0.0,15.0,28.868,28.868,3,zakonczona
EV-006,Volvo EX30 69 kWh,crossover,69.0,0.374,0.781,0.781,13:15,13:15,13:30,0.0,15.0,28.124,28.124,2,zakonczona
EV-022,Hyundai IONIQ 5 77.4 kWh,crossover,77.4,0.463,0.766,0.766,13:15,13:15,13:30,0.0,15.0,23.429,23.429,3,zakonczona
EV-023,Volvo EX30 69 kWh,crossover,69.0,0.379,0.793,0.793,13:15,13:15,13:30,0.0,15.0,28.597,28.597,4,zakonczona
EV-009,BMW i4 eDrive40,sedan,81.1,0.416,0.788,0.788,13:30,13:30,13:45,0.0,15.0,30.228,30.228,1,zakonczona
EV-032,Volvo EX30 69 kWh,crossover,69.0,0.276,0.814,0.814,13:45,13:45,14:15,0.0,30.0,37.099,37.099,1,zakonczona
EV-021,Volvo EX30 69 kWh,crossover,69.0,0.386,0.762,0.761,14:15,14:15,14:30,0.0,15.0,25.891,25.891,1,zakonczona
EV-018,BMW i4 eDrive40,sedan,81.1,0.384,0.805,0.805,14:45,14:45,15:00,0.0,15.0,34.212,34.212,1,zakonczona
