czas,krok,moc_calkowita_kw,prad_calkowity_a,aktywne_sesje,kolejka,wykorzystanie_ladowarek_proc
00:00,0,0.0,0.0,0,0,0.0
00:15,1,0.0,0.0,0,0,0.0
00:30,2,0.0,0.0,0,0,0.0
00:45,3,0.0,0.0,0,0,0.0
01:00,4,0.0,0.0,0,0,0.0
01:15,5,0.0,0.0,0,0,0.0
01:30,6,0.0,0.0,0,0,0.0
01:45,7,0.0,0.0,0,0,0.0
02:00,8,0.0,0.0,0,0,0.0
02:15,9,0.0,0.0,0,0,0.0
02:30,10,0.0,0.0,0,0,0.0
02:45,11,0.0,0.0,0,0,0.0
03:00,12,0.0,0.0,0,0,0.0
03:15,13,94.689,236.723,0,0,0.0
03:30,14,0.0,0.0,0,0,0.0
03:45,15,0.0,0.0,0,0,0.0
04:00,16,0.0,0.0,0,0,0.0
04:15,17,123.0,307.5,1,0,10.0
04:30,18,86.838,217.096,0,0,0.0
04:45,19,0.0,0.0,0,0,0.0
05:00,20,0.0,0.0,0,0,0.0
05:15,21,0.0,0.0,0,0,0.0
05:30,22,0.0,0.0,0,0,0.0
05:45,23,118.818,297.045,1,0,10.0
06:00,24,14.901,37.253,0,0,0.0
06:15,25,0.0,0.0,0,0,0.0
06:30,26,0.0,0.0,0,0,0.0
06:45,27,0.0,0.0,0,0,0.0
07:00,28,0.0,0.0,0,0,0.0
07:15,29,0.0,0.0,0,0,0.0
07:30,30,0.0,0.0,0,0,0.0
07:45,31,118.818,297.045,1,0,10.0
08:00,32,83.991,209.976,0,0,0.0
08:15,33,241.818,604.545,2,0,20.0
08:30,34,128.037,320.093,0,0,0.0
08:45,35,123.0,307.5,1,0,10.0
09:00,36,13.962,34.904,0,0,0.0
09:15,37,0.0,0.0,0,0,0.0
09:30,38,0.0,0.0,0,0,0.0
09:45,39,123.0,307.5,0,0,0.0
10:00,40,0.0,0.0,0,0,0.0
10:15,41,325.809,814.521,2,0,20.0
10:30,42,168.745,421.862,0,0,0.0
10:45,43,0.0,0.0,0,0,0.0
11:00,44,0.0,0.0,0,0,0.0
11:15,45,0.0,0.0,0,0,0.0
11:30,46,0.0,0.0,0,0,0.0
11:45,47,118.818,297.045,1,0,10.0
12:00,48,144.82,362.051,1,0,10.0
12:15,49,144.906,362.266,1,0,10.0
12:30,50,200.924,502.311,1,0,10.0
12:45,51,56.378,140.944,0,0,0.0
13:00,52,0.0,0.0,0,0,0.0
13:15,53,0.0,0.0,0,0,0.0
13:30,54,88.783,221.957,0,0,0.0
13:45,55,0.0,0.0,0,0,0.0
14:00,56,0.0,0.0,0,0,0.0
14:15,57,0.0,0.0,0,0,0.0
14:30,58,345.316,863.29,2,0,20.0
14:45,59,107.616,269.04,0,0,0.0
15:00,60,123.0,307.5,0,0,0.0
15:15,61,118.818,297.045,1,0,10.0
15:30,62,152.173,380.434,1,0,10.0
15:45,63,210.336,525.84,1,0,10.0
16:00,64,235.367,588.417,1,0,10.0
16:15,65,154.769,386.923,1,0,10.0
16:30,66,39.783,99.457,0,0,0.0
16:45,67,0.0,0.0,0,0,0.0
17:00,68,0.0,0.0,0,0,0.0
17:15,69,0.0,0.0,0,0,0.0
17:30,70,237.636,594.09,2,0,20.0
17:45,71,194.287,485.719,0,0,0.0
18:00,72,0.0,0.0,0,0,0.0
18:15,73,0.0,0.0,0,0,0.0
18:30,74,0.0,0.0,0,0,0.0
18:45,75,0.0,0.0,0,0,0.0
19:00,76,0.0,0.0,0,0,0.0
19:15,77,123.0,307.5,0,0,0.0
19:30,78,123.0,307.5,1,0,10.0
19:45,79,163.554,408.885,1,0,10.0
20:00,80,46.748,116.87,0,0,0.0
20:15,81,0.0,0.0,0,0,0.0
20:30,82,0.0,0.0,0,0,0.0
20:45,83,0.0,0.0,0,0,0.0
21:00,84,0.0,0.0,0,0,0.0
21:15,85,0.0,0.0,0,0,0.0
21:30,86,118.818,297.045,1,0,10.0
21:45,87,33.586,83.966,0,0,0.0
22:00,88,0.0,0.0,0,0,0.0
22:15,89,0.0,0.0,0,0,0.0
22:30,90,0.0,0.0,0,0,0.0
22:45,91,0.0,0.0,0,0,0.0
23:00,92,0.0,0.0,0,0,0.0
23:15,93,0.0,0.0,0,0,0.0
23:30,94,0.0,0.0,0,0,0.0
23:45,95,0.0,0.0,0,0,0.0
