sesja_id,pojazd,segment,pojemnosc_baterii_kwh,soc_poczatkowy,soc_docelowy,soc_koncowy,przyjazd,start_ladowania,koniec_ladowania,czas_oczekiwania_min,czas_ladowania_min,energia_planowana_kwh,energia_dostarczona_kwh,slot_ladowarki,status
EV-011,Nissan LEAF 40 kWh,hatchback,40.0,0.439,0.792,0.792,01:00,01:00,01:30,0.0,30.0,14.418,14.418,1,zakonczona
EV-035,Hyundai IONIQ 5 77.4 kWh,crossover,77.4,0.211,0.773,0.773,06:00,06:00,06:30,0.0,30.0,44.308,44.308,1,zakonczona
EV-014,Volvo EX30 69 kWh,crossover,69.0,0.535,0.824,0.824,06:15,06:15,06:30,0.0,15.0,20.329,20.329,2,zakonczona
EV-038,Hyundai IONIQ 5 77.4 kWh,crossover,77.4,0.421,0.769,0.769,06:30,06:30,06:45,0.0,15.0,27.432,27.432,1,zakonczona
EV-026,BMW i4 eDrive40,sedan,81.1,0.372,0.768,0.768,07:15,07:15,07:30,0.0,15.0,32.757,32.757,1,zakonczona
EV-031,Volvo EX30 69 kWh,crossover,69.0,0.324,0.829,0.829,07:30,07:30,08:00,0.0,30.0,35.572,35.572,1,zakonczona
EV-017,Hyundai IONIQ 5 77.4 kWh,crossover,77.4,0.382,0.772,0.772,08:30,08:30,08:45,0.0,15.0,30.844,30.844,1,zakonczona
EV-027,Hyundai IONIQ 5 77.4 kWh,crossover,77.4,0.441,0.814,0.814,09:00,09:00,09:15,0.0,15.0,29.448,29.448,1,zakonczona
EV-009,BMW i4 eDrive40,sedan,81.1,0.415,0.799,0.799,09:45,09:45,10:00,0.0,15.0,31.784,31.784,1,zakonczona
EV-015,Hyundai IONIQ 5 77.4 kWh,crossover,77.4,0.462,0.81,0.81,09:45,09:45,10:00,0.0,15.0,27.528,27.528,2,zakonczona
EV-016,BMW i4 eDrive40,sedan,81.1,0.189,0.823,0.823,09:45,09:45,10:15,0.0,30.0,52.498,52.498,3,zakonczona
EV-030,Hyundai IONIQ 5 77.4 kWh,crossover,77.4,0.356,0.778,0.778,09:45,09:45,10:00,0.0,15.0,33.308,33.308,4,zakonczona
EV-033,Nissan LEAF 40 kWh,hatchback,40.0,0.415,0.786,0.786,10:00,10:00,10:30,0.0,30.0,15.157,15.157,1,zakonczona
