czas,krok,moc_calkowita_kw,prad_calkowity_a,aktywne_sesje,kolejka,wykorzystanie_ladowarek_proc
00:00,0,0.0,0.0,0,0,0.0
00:15,1,0.0,0.0,0,0,0.0
00:30,2,0.0,0.0,0,0,0.0
00:45,3,115.515,288.787,0,0,0.0
01:00,4,150.0,375.0,1,0,16.67
01:15,5,58.689,146.723,0,0,0.0
01:30,6,0.0,0.0,0,0,0.0
01:45,7,0.0,0.0,0,0,0.0
02:00,8,0.0,0.0,0,0,0.0
02:15,9,0.0,0.0,0,0,0.0
02:30,10,0.0,0.0,0,0,0.0
02:45,11,0.0,0.0,0,0,0.0
03:00,12,0.0,0.0,0,0,0.0
03:15,13,0.0,0.0,0,0,0.0
03:30,14,0.0,0.0,0,0,0.0
03:45,15,0.0,0.0,0,0,0.0
04:00,16,0.0,0.0,0,0,0.0
04:15,17,0.0,0.0,0,0,0.0
04:30,18,0.0,0.0,0,0,0.0
04:45,19,0.0,0.0,0,0,0.0
05:00,20,0.0,0.0,0,0,0.0
05:15,21,0.0,0.0,0,0,0.0
05:30,22,0.0,0.0,0,0,0.0
05:45,23,0.0,0.0,0,0,0.0
06:00,24,144.9,362.25,1,0,16.67
06:15,25,7.194,17.984,0,0,0.0
06:30,26,0.0,0.0,0,0,0.0
06:45,27,0.0,0.0,0,0,0.0
07:00,28,127.426,318.564,0,0,0.0
07:15,29,0.0,0.0,0,0,0.0
07:30,30,0.0,0.0,0,0,0.0
07:45,31,0.0,0.0,0,0,0.0
08:00,32,0.0,0.0,0,0,0.0
08:15,33,0.0,0.0,0,0,0.0
08:30,34,0.0,0.0,0,0,0.0
08:45,35,144.9,362.25,1,0,16.67
09:00,36,26.338,65.846,0,0,0.0
09:15,37,207.787,519.468,0,0,0.0
09:30,38,0.0,0.0,0,0,0.0
09:45,39,150.0,375.0,1,0,16.67
10:00,40,99.996,249.989,1,0,16.67
10:15,41,100.0,250.0,2,0,33.33
10:30,42,14.4,36.0,0,0,0.0
10:45,43,50.0,125.0,1,0,16.67
11:00,44,200.0,500.0,2,0,33.33
11:15,45,41.553,103.883,0,0,0.0
11:30,46,150.0,375.0,1,0,16.67
11:45,47,328.8,822.0,2,0,33.33
12:00,48,204.204,510.511,0,0,0.0
12:15,49,150.0,375.0,1,0,16.67
12:30,50,89.97,224.926,1,0,16.67
12:45,51,423.504,1058.761,1,0,16.67
13:00,52,276.611,691.527,1,0,16.67
13:15,53,320.723,801.809,1,0,16.67
13:30,54,130.153,325.383,0,0,0.0
13:45,55,144.9,362.25,1,0,16.67
14:00,56,12.968,32.42,0,0,0.0
14:15,57,110.174,275.436,0,0,0.0
14:30,58,0.0,0.0,0,0,0.0
14:45,59,145.583,363.957,0,0,0.0
15:00,60,242.802,607.005,1,0,16.67
15:15,61,22.9,57.25,0,0,0.0
15:30,62,150.0,375.0,1,0,16.67
15:45,63,300.97,752.426,2,0,33.33
16:00,64,54.889,137.223,0,0,0.0
16:15,65,85.54,213.851,0,0,0.0
16:30,66,88.46,221.149,0,0,0.0
16:45,67,0.0,0.0,0,0,0.0
17:00,68,256.568,641.42,1,0,16.67
17:15,69,29.121,72.803,0,0,0.0
17:30,70,0.0,0.0,0,0,0.0
17:45,71,0.0,0.0,0,0,0.0
18:00,72,0.0,0.0,0,0,0.0
18:15,73,0.0,0.0,0,0,0.0
18:30,74,0.0,0.0,0,0,0.0
18:45,75,0.0,0.0,0,0,0.0
19:00,76,0.0,0.0,0,0,0.0
19:15,77,0.0,0.0,0,0,0.0
19:30,78,0.0,0.0,0,0,0.0
19:45,79,0.0,0.0,0,0,0.0
20:00,80,0.0,0.0,0,0,0.0
20:15,81,0.0,0.0,0,0,0.0
20:30,82,0.0,0.0,0,0,0.0
20:45,83,150.0,375.0,1,0,16.67
21:00,84,30.26,75.649,0,0,0.0
21:15,85,0.0,0.0,0,0,0.0
21:30,86,0.0,0.0,0,0,0.0
21:45,87,0.0,0.0,0,0,0.0
22:00,88,0.0,0.0,0,0,0.0
22:15,89,0.0,0.0,0,0,0.0
22:30,90,0.0,0.0,0,0,0.0
22:45,91,0.0,0.0,0,0,0.0
23:00,92,109.494,273.734,0,0,0.0
23:15,93,0.0,0.0,0,0,0.0
23:30,94,0.0,0.0,0,0,0.0
23:45,95,0.0,0.0,0,0,0.0
